model,cv_accuracy_mean,cv_accuracy_std,cv_f1_weighted_mean,cv_f1_weighted_std,cv_roc_auc_mean
Gradient Boosting,0.9344827586206896,0.011226772824896349,0.9344894204927225,0.011222553676777677,0.9647826292859099
Random Forest,0.9344827586206896,0.010229239292545742,0.9344889341469271,0.010224124821909373,0.9646279553487481
Logistic Regression,0.9265517241379311,0.008488643879373254,0.9265546219523921,0.008476365214211565,0.9310747008116718
Extra Trees,0.9193103448275861,0.004802892509373809,0.919292625638653,0.004796929130724806,0.93155828294316
